DC_PRODUTO,TOKENS,TAGS,text
FRECHAL 4X5 2.50MT MASSAR,"['FRECHAL', '4X5', '2.50MT', 'MASSAR']","[0, 0, 0, 0]",frechal 4x5 2.50mt massar
"LINHA MASSA 5,0X12 5,0MT","['LINHA', 'MASSA', '5,0X12', '5,0MT']","[0, 0, 0, 0]","linha massa 5,0x12 5,0mt"
PRENDEDOR DE ROUPA BILLA,"['PRENDEDOR', 'DE', 'ROUPA', 'BILLA']","[0, 0, 0, 0]",prendedor de roupa billa
"TABUA MISTA 2,5X10CM","['TABUA', 'MISTA', '2,5X10CM']","[0, 0, 0]","tabua mista 2,5x10cm"
CUMARU SERRADO EM PRANCHA,"['CUMARU', 'SERRADO', 'EM', 'PRANCHA']","[0, 0, 0, 0]",cumaru serrado em prancha
ANGELIM TABUA - M,"['ANGELIM', 'TABUA', '-', 'M']","[0, 0, 0, 0]",angelim tabua - m
LINHA DE ANGELIM 3 X 5,"['LINHA', 'DE', 'ANGELIM', '3', 'X', '5']","[0, 0, 0, 0, 0, 0]",linha de angelim 3 x 5
"CAIBRO ANGELIM 5X3 CM 5,00MT","['CAIBRO', 'ANGELIM', '5X3', 'CM', '5,00MT']","[0, 0, 0, 0, 0]","caibro angelim 5x3 cm 5,00mt"
CAIBRO MACARANDUBA,"['CAIBRO', 'MACARANDUBA']","[0, 0]",caibro macaranduba
TABUA 14CM MISTA,"['TABUA', '14CM', 'MISTA']","[0, 0, 0]",tabua 14cm mista
"LINHA MASSA 5,0X15 3,0MT","['LINHA', 'MASSA', '5,0X15', '3,0MT']","[0, 0, 0, 0]","linha massa 5,0x15 3,0mt"
CAVILHA 8X40MM  50UN,"['CAVILHA', '8X40MM', '50UN']","[0, 0, 0]",cavilha 8x40mm  50un
ANGELIM-AMARGOSO MADEIRA SERRADA VIGA,"['ANGELIM-AMARGOSO', 'MADEIRA', 'SERRADA', 'VIGA']","[0, 0, 0, 0]",angelim-amargoso madeira serrada viga
PRANCHA JATOBA,"['PRANCHA', 'JATOBA']","[0, 0]",prancha jatoba
"CAIBRO MASSA 5,0MT MADEIRA","['CAIBRO', 'MASSA', '5,0MT', 'MADEIRA']","[0, 0, 0, 0]","caibro massa 5,0mt madeira"
BARROTE 5X6 ANGELIM 3.00MT,"['BARROTE', '5X6', 'ANGELIM', '3.00MT']","[0, 0, 0, 0]",barrote 5x6 angelim 3.00mt
MACARANDUBA RIPA CURTA,"['MACARANDUBA', 'RIPA', 'CURTA']","[0, 0, 0]",macaranduba ripa curta
"LINHA ANGELIM (5X11CM) 3X5 7,00MT","['LINHA', 'ANGELIM', '(5X11CM)', '3X5', '7,00MT']","[0, 0, 0, 0, 0]","linha angelim (5x11cm) 3x5 7,00mt"
JOGO DE UTENSILIOS EM BAMBU PARA,"['JOGO', 'DE', 'UTENSILIOS', 'EM', 'BAMBU', 'PARA']","[0, 0, 0, 0, 0, 0]",jogo de utensilios em bambu para
TABUA MISTA 18CMX1.00MT,"['TABUA', 'MISTA', '18CMX1.00MT']","[0, 0, 0]",tabua mista 18cmx1.00mt
MAPARAJUBA SERRADA RIPA,"['MAPARAJUBA', 'SERRADA', 'RIPA']","[0, 0, 0]",maparajuba serrada ripa
MADEIRA SERRADA TIPO VIGOTA DA ESPECIE MAÇARANDUBA,"['MADEIRA', 'SERRADA', 'TIPO', 'VIGOTA', 'DA', 'ESPECIE', 'MAÇARANDUBA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada tipo vigota da especie macaranduba
"PORTA JATOBA LAMBRI 0,80 X 2,10","['PORTA', 'JATOBA', 'LAMBRI', '0,80', 'X', '2,10']","[0, 0, 0, 0, 0, 0]","porta jatoba lambri 0,80 x 2,10"
LINHA 5X11 ANGELIM 3.00MT,"['LINHA', '5X11', 'ANGELIM', '3.00MT']","[0, 0, 0, 0]",linha 5x11 angelim 3.00mt
MADEIRA SERRADA TABUA DE CANELAO,"['MADEIRA', 'SERRADA', 'TABUA', 'DE', 'CANELAO']","[0, 0, 0, 0, 0]",madeira serrada tabua de canelao
CAIBRO 5X3 CM ANGELIM,"['CAIBRO', '5X3', 'CM', 'ANGELIM']","[0, 0, 0, 0]",caibro 5x3 cm angelim
GUAJARA SERRADO,"['GUAJARA', 'SERRADO']","[0, 0]",guajara serrado
CAIBRO 3X5CM MASSAR,"['CAIBRO', '3X5CM', 'MASSAR']","[0, 0, 0]",caibro 3x5cm massar
MADEIRA EM ASSOALHO DE CUMARU,"['MADEIRA', 'EM', 'ASSOALHO', 'DE', 'CUMARU']","[0, 0, 0, 0, 0]",madeira em assoalho de cumaru
"LINHA MASSA 5,0X10 4,0MT","['LINHA', 'MASSA', '5,0X10', '4,0MT']","[0, 0, 0, 0]","linha massa 5,0x10 4,0mt"
JOGO COLHER E ESPATULA EM MADEIR,"['JOGO', 'COLHER', 'E', 'ESPATULA', 'EM', 'MADEIR']","[0, 0, 0, 0, 0, 0]",jogo colher e espatula em madeir
CAIBRO 5X3 ANGELIM 3.50MT,"['CAIBRO', '5X3', 'ANGELIM', '3.50MT']","[0, 0, 0, 0]",caibro 5x3 angelim 3.50mt
COPAIBA MADEIRA SERRADA APROV. CAIBRO(3X5),"['COPAIBA', 'MADEIRA', 'SERRADA', 'APROV.', 'CAIBRO(3X5)']","[0, 0, 0, 0, 0]",copaiba madeira serrada aprov. caibro(3x5)
MAPARAJUBA SERRADO EM CAIBRO ( CAIBRINHO 3X5 ),"['MAPARAJUBA', 'SERRADO', 'EM', 'CAIBRO', '(', 'CAIBRINHO', '3X5', ')']","[0, 0, 0, 0, 0, 0, 0, 0]",maparajuba serrado em caibro ( caibrinho 3x5 )
MADEIRA SERRADA DE 70X14X1200,"['MADEIRA', 'SERRADA', 'DE', '70X14X1200']","[0, 0, 0, 0]",madeira serrada de 70x14x1200
"FRECHAL ANGELIM 5X4 CM 1,00MT","['FRECHAL', 'ANGELIM', '5X4', 'CM', '1,00MT']","[0, 0, 0, 0, 0]","frechal angelim 5x4 cm 1,00mt"
MADEIRA SERRADA TIPO CAIBRO (CAIBRINHO) DA ESPECIE,"['MADEIRA', 'SERRADA', 'TIPO', 'CAIBRO', '(CAIBRINHO)', 'DA', 'ESPECIE']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada tipo caibro (caibrinho) da especie
MADEIRA SERRADA EM LINHA MACARANDUBA,"['MADEIRA', 'SERRADA', 'EM', 'LINHA', 'MACARANDUBA']","[0, 0, 0, 0, 0]",madeira serrada em linha macaranduba
MADEIRA CAJUI SERRADA EM VIGOTAS,"['MADEIRA', 'CAJUI', 'SERRADA', 'EM', 'VIGOTAS']","[0, 0, 0, 0, 0]",madeira cajui serrada em vigotas
LINHA 3X6,"['LINHA', '3X6']","[0, 0]",linha 3x6
"RIPA MASSARANDUBA 3,0MT","['RIPA', 'MASSARANDUBA', '3,0MT']","[0, 0, 0]","ripa massaranduba 3,0mt"
"RIPA MASSARANDUBA 3,5MT","['RIPA', 'MASSARANDUBA', '3,5MT']","[0, 0, 0]","ripa massaranduba 3,5mt"
BARROTE 300 X 5 X 5 MADEIRA MISTA,"['BARROTE', '300', 'X', '5', 'X', '5', 'MADEIRA', 'MISTA']","[0, 0, 0, 0, 0, 0, 0, 0]",barrote 300 x 5 x 5 madeira mista
CONJUNTO COM 3 COLHERES EM MADEI,"['CONJUNTO', 'COM', '3', 'COLHERES', 'EM', 'MADEI']","[0, 0, 0, 0, 0, 0]",conjunto com 3 colheres em madei
MADEIRITE 1.10X2.20 COMUM 11MM,"['MADEIRITE', '1.10X2.20', 'COMUM', '11MM']","[0, 0, 0, 0]",madeirite 1.10x2.20 comum 11mm
TABUA MAXCORTE COLOR ARCA PLAST REF 134,"['TABUA', 'MAXCORTE', 'COLOR', 'ARCA', 'PLAST', 'REF', '134']","[0, 0, 0, 0, 0, 0, 0]",tabua maxcorte color arca plast ref 134
MADEIRA CAIBRO MACARANDUBA 5X3CM,"['MADEIRA', 'CAIBRO', 'MACARANDUBA', '5X3CM']","[0, 0, 0, 0]",madeira caibro macaranduba 5x3cm
LOURO KATALYN 05G,"['LOURO', 'KATALYN', '05G']","[0, 0, 0]",louro katalyn 05g
COLHER DE MADEIRA 34 CM,"['COLHER', 'DE', 'MADEIRA', '34', 'CM']","[0, 0, 0, 0, 0]",colher de madeira 34 cm
"PIQUIA 2,5","['PIQUIA', '2,5']","[0, 0]","piquia 2,5"
BEIRAL DE 12CM,"['BEIRAL', 'DE', '12CM']","[0, 0, 0]",beiral de 12cm
GUAJARA BOLACHA MAD IND DE RESIDUO (SHORT-CAIBRINHO),"['GUAJARA', 'BOLACHA', 'MAD', 'IND', 'DE', 'RESIDUO', '(SHORT-CAIBRINHO)']","[0, 0, 0, 0, 0, 0, 0]",guajara bolacha mad ind de residuo (short-caibrinho)
"LINHA MASS 5 X 9 - 4,00","['LINHA', 'MASS', '5', 'X', '9', '-', '4,00']","[0, 0, 0, 0, 0, 0, 0]","linha mass 5 x 9 - 4,00"
CAIBRO 3X5 2.00MT DE MASSARANDUBA,"['CAIBRO', '3X5', '2.00MT', 'DE', 'MASSARANDUBA']","[0, 0, 0, 0, 0]",caibro 3x5 2.00mt de massaranduba
LINHA 5X13 ANGELIM 3.00MT,"['LINHA', '5X13', 'ANGELIM', '3.00MT']","[0, 0, 0, 0]",linha 5x13 angelim 3.00mt
MAÇARANDUBA SERRADA EM VIGA,"['MAÇARANDUBA', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0]",macaranduba serrada em viga
MANILKARA HUBERI (DUCKE) CHEVALIER - MAÇARANDUBA-2877- RIPA,"['MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER', '-', 'MAÇARANDUBA-2877-', 'RIPA']","[0, 0, 0, 0, 0, 0, 0]",manilkara huberi (ducke) chevalier - macaranduba-2877- ripa
RIPAS / DINIZIA EXCELSA - ANGELIM-FERRO,"['RIPAS', '/', 'DINIZIA', 'EXCELSA', '-', 'ANGELIM-FERRO']","[0, 0, 0, 0, 0, 0]",ripas / dinizia excelsa - angelim-ferro
MADEIRA SERRADA - VIGA - UXI,"['MADEIRA', 'SERRADA', '-', 'VIGA', '-', 'UXI']","[0, 0, 0, 0, 0, 0]",madeira serrada - viga - uxi
PORTAL DE CAFERRANA BATEDOR,"['PORTAL', 'DE', 'CAFERRANA', 'BATEDOR']","[0, 0, 0, 0]",portal de caferrana batedor
TABUA DE PINNUS MARCENEIRO 3M X 15 X 2.5,"['TABUA', 'DE', 'PINNUS', 'MARCENEIRO', '3M', 'X', '15', 'X', '2.5']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",tabua de pinnus marceneiro 3m x 15 x 2.5
LINHAS DE 3 METROS DE 12 CM,"['LINHAS', 'DE', '3', 'METROS', 'DE', '12', 'CM']","[0, 0, 0, 0, 0, 0, 0]",linhas de 3 metros de 12 cm
CAIBRO 3X5CM MASSARANDUBA,"['CAIBRO', '3X5CM', 'MASSARANDUBA']","[0, 0, 0]",caibro 3x5cm massaranduba
CONDIMENTOS KATALYN LOURO 5G,"['CONDIMENTOS', 'KATALYN', 'LOURO', '5G']","[0, 0, 0, 0]",condimentos katalyn louro 5g
"LINHA 3X5 5,00MT","['LINHA', '3X5', '5,00MT']","[0, 0, 0]","linha 3x5 5,00mt"
"LINHAS DE 4,00 METROS DE 12CM","['LINHAS', 'DE', '4,00', 'METROS', 'DE', '12CM']","[0, 0, 0, 0, 0, 0]","linhas de 4,00 metros de 12cm"
"LINHAS DE 4,5 METROS DE 14CM","['LINHAS', 'DE', '4,5', 'METROS', 'DE', '14CM']","[0, 0, 0, 0, 0, 0]","linhas de 4,5 metros de 14cm"
"LINHA MIX 3X4 4,0MT","['LINHA', 'MIX', '3X4', '4,0MT']","[0, 0, 0, 0]","linha mix 3x4 4,0mt"
LOURO SERRADO PRANCHAO,"['LOURO', 'SERRADO', 'PRANCHAO']","[0, 0, 0]",louro serrado pranchao
LINHA 5X25 CM MASSARANDUBA,"['LINHA', '5X25', 'CM', 'MASSARANDUBA']","[0, 0, 0, 0]",linha 5x25 cm massaranduba
"FRECHAL MASS 4,5 X 5CM","['FRECHAL', 'MASS', '4,5', 'X', '5CM']","[0, 0, 0, 0, 0]","frechal mass 4,5 x 5cm"
CAIBRO 5X3 ANGELIN 1.50MT,"['CAIBRO', '5X3', 'ANGELIN', '1.50MT']","[0, 0, 0, 0]",caibro 5x3 angelin 1.50mt
"LINHA MASS 5 X 13 - 5,00","['LINHA', 'MASS', '5', 'X', '13', '-', '5,00']","[0, 0, 0, 0, 0, 0, 0]","linha mass 5 x 13 - 5,00"
LINHA DE MACARANDUBA 6X15,"['LINHA', 'DE', 'MACARANDUBA', '6X15']","[0, 0, 0, 0]",linha de macaranduba 6x15
RESIDUO PARA APROVEITAMENTO INDUSTRIAL TÁBUA-CURTA,"['RESIDUO', 'PARA', 'APROVEITAMENTO', 'INDUSTRIAL', 'TÁBUA-CURTA']","[0, 0, 0, 0, 0]",residuo para aproveitamento industrial tabua-curta
JATOBA SERR. TABUA,"['JATOBA', 'SERR.', 'TABUA']","[0, 0, 0]",jatoba serr. tabua
LINHA 5X13 ANGELIM 6.00MT,"['LINHA', '5X13', 'ANGELIM', '6.00MT']","[0, 0, 0, 0]",linha 5x13 angelim 6.00mt
JATOBA SERR. VIGA,"['JATOBA', 'SERR.', 'VIGA']","[0, 0, 0]",jatoba serr. viga
TABUA MIX 29CM,"['TABUA', 'MIX', '29CM']","[0, 0, 0]",tabua mix 29cm
LINHA 5X18 ANGELIM 4.00MT,"['LINHA', '5X18', 'ANGELIM', '4.00MT']","[0, 0, 0, 0]",linha 5x18 angelim 4.00mt
MADEIRA SERRADA DE ANGELIM VERMELHO EM VIGA,"['MADEIRA', 'SERRADA', 'DE', 'ANGELIM', 'VERMELHO', 'EM', 'VIGA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada de angelim vermelho em viga
"MADEIRITE PLASTIFICADO 1,10 X 2,20 17MM MADEIRITE","['MADEIRITE', 'PLASTIFICADO', '1,10', 'X', '2,20', '17MM', 'MADEIRITE']","[0, 0, 0, 0, 0, 0, 0]","madeirite plastificado 1,10 x 2,20 17mm madeirite"
"MADEIRITE PLASTIFICADO 1,10 X 2,20 09MM MADEIRITE","['MADEIRITE', 'PLASTIFICADO', '1,10', 'X', '2,20', '09MM', 'MADEIRITE']","[0, 0, 0, 0, 0, 0, 0]","madeirite plastificado 1,10 x 2,20 09mm madeirite"
PV-MESA EM MADEIRA,"['PV-MESA', 'EM', 'MADEIRA']","[0, 0, 0]",pv-mesa em madeira
BATE CLARAS EM ARAME,"['BATE', 'CLARAS', 'EM', 'ARAME']","[0, 0, 0, 0]",bate claras em arame
"TIMBORANA 3,5 X LARG TABUA","['TIMBORANA', '3,5', 'X', 'LARG', 'TABUA']","[0, 0, 0, 0, 0]","timborana 3,5 x larg tabua"
BARROTE 3 MT,"['BARROTE', '3', 'MT']","[0, 0, 0]",barrote 3 mt
"PORTA LAMINADA JATOBA 0,70 X 2,10","['PORTA', 'LAMINADA', 'JATOBA', '0,70', 'X', '2,10']","[0, 0, 0, 0, 0, 0]","porta laminada jatoba 0,70 x 2,10"
LOURO PRODUTOS DO SERIDO 5G,"['LOURO', 'PRODUTOS', 'DO', 'SERIDO', '5G']","[0, 0, 0, 0, 0]",louro produtos do serido 5g
LINHA MISTA 5X12X1M,"['LINHA', 'MISTA', '5X12X1M']","[0, 0, 0]",linha mista 5x12x1m
"LINHA MIX 3X4 6,0MT","['LINHA', 'MIX', '3X4', '6,0MT']","[0, 0, 0, 0]","linha mix 3x4 6,0mt"
LINHA 5X09 ANGELIM 2.00MT,"['LINHA', '5X09', 'ANGELIM', '2.00MT']","[0, 0, 0, 0]",linha 5x09 angelim 2.00mt
SARRAFO 10CM MISTO,"['SARRAFO', '10CM', 'MISTO']","[0, 0, 0]",sarrafo 10cm misto
RIPA 5X1 CM ANGELIM,"['RIPA', '5X1', 'CM', 'ANGELIM']","[0, 0, 0, 0]",ripa 5x1 cm angelim
MADEIRA SERR. ESP.JATOBA TIPO PRANCHA,"['MADEIRA', 'SERR.', 'ESP.JATOBA', 'TIPO', 'PRANCHA']","[0, 0, 0, 0, 0]",madeira serr. esp.jatoba tipo prancha
MACARANDUBA SERRADA M.I.R. CAIBRINHO,"['MACARANDUBA', 'SERRADA', 'M.I.R.', 'CAIBRINHO']","[0, 0, 0, 0]",macaranduba serrada m.i.r. caibrinho
"PORTA TIMB. LAMBRI 2,10 X 0,80","['PORTA', 'TIMB.', 'LAMBRI', '2,10', 'X', '0,80']","[0, 0, 0, 0, 0, 0]","porta timb. lambri 2,10 x 0,80"
"LINHA MASSA 5,0X10 5,5MT MADEIRA","['LINHA', 'MASSA', '5,0X10', '5,5MT', 'MADEIRA']","[0, 0, 0, 0, 0]","linha massa 5,0x10 5,5mt madeira"
LINHA DE ANGELIM 3 X 4,"['LINHA', 'DE', 'ANGELIM', '3', 'X', '4']","[0, 0, 0, 0, 0, 0]",linha de angelim 3 x 4
MADEIRA SERRADO TABUA ANDIROBA,"['MADEIRA', 'SERRADO', 'TABUA', 'ANDIROBA']","[0, 0, 0, 0]",madeira serrado tabua andiroba
TABUAS DE PINUS 30CM,"['TABUAS', 'DE', 'PINUS', '30CM']","[0, 0, 0, 0]",tabuas de pinus 30cm
RIPAO 1X5CM MASSAR,"['RIPAO', '1X5CM', 'MASSAR']","[0, 0, 0]",ripao 1x5cm massar
CAIBRO 3X5 MISTO,"['CAIBRO', '3X5', 'MISTO']","[0, 0, 0]",caibro 3x5 misto
700 TELHA VERMELHA,"['700', 'TELHA', 'VERMELHA']","[0, 0, 0]",700 telha vermelha
TANIBUCA SERRADO EM RIPA CURTA.,"['TANIBUCA', 'SERRADO', 'EM', 'RIPA', 'CURTA.']","[0, 0, 0, 0, 0]",tanibuca serrado em ripa curta.
MAPARAJUBA SERRADO CAIBRO,"['MAPARAJUBA', 'SERRADO', 'CAIBRO']","[0, 0, 0]",maparajuba serrado caibro
MADEIRA SERRADA (V) TIPO VIGA DA ESPECIE,"['MADEIRA', 'SERRADA', '(V)', 'TIPO', 'VIGA', 'DA', 'ESPECIE']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada (v) tipo viga da especie
"MADEIRITE RESINADO 1,10 X 2,20 14MM MADEIRITE","['MADEIRITE', 'RESINADO', '1,10', 'X', '2,20', '14MM', 'MADEIRITE']","[0, 0, 0, 0, 0, 0, 0]","madeirite resinado 1,10 x 2,20 14mm madeirite"
MADEIRA SERRADA (VIGOTA) / MANILKARA HUBERI - MAÇARANDUBA,"['MADEIRA', 'SERRADA', '(VIGOTA)', '/', 'MANILKARA', 'HUBERI', '-', 'MAÇARANDUBA']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada (vigota) / manilkara huberi - macaranduba
"TABUA MISTA 2,5X30CM","['TABUA', 'MISTA', '2,5X30CM']","[0, 0, 0]","tabua mista 2,5x30cm"
"RIPA MASSARANDUBA 1,0MT","['RIPA', 'MASSARANDUBA', '1,0MT']","[0, 0, 0]","ripa massaranduba 1,0mt"
TIMBORANA SERR EM PRANCHA,"['TIMBORANA', 'SERR', 'EM', 'PRANCHA']","[0, 0, 0, 0]",timborana serr em prancha
ANGELIM VERMELHO INDUSTRIALIZADA RESIDUO CAIBRINHO  (MADEIRA),"['ANGELIM', 'VERMELHO', 'INDUSTRIALIZADA', 'RESIDUO', 'CAIBRINHO', '(MADEIRA)']","[0, 0, 0, 0, 0, 0]",angelim vermelho industrializada residuo caibrinho  (madeira)
ROLO DE MASSAS,"['ROLO', 'DE', 'MASSAS']","[0, 0, 0]",rolo de massas
"LINHA MASS 5 X 24 - 5,00","['LINHA', 'MASS', '5', 'X', '24', '-', '5,00']","[0, 0, 0, 0, 0, 0, 0]","linha mass 5 x 24 - 5,00"
RIPA MASSARANDUBA OU ANGELIM,"['RIPA', 'MASSARANDUBA', 'OU', 'ANGELIM']","[0, 0, 0, 0]",ripa massaranduba ou angelim
"PORTA JATOBA DIAG 80 X 2,10 C/ TABICAO","['PORTA', 'JATOBA', 'DIAG', '80', 'X', '2,10', 'C/', 'TABICAO']","[0, 0, 0, 0, 0, 0, 0, 0]","porta jatoba diag 80 x 2,10 c/ tabicao"
JANELA 0 80X0 80 CX SP VENEZIANA,"['JANELA', '0', '80X0', '80', 'CX', 'SP', 'VENEZIANA']","[0, 0, 0, 0, 0, 0, 0]",janela 0 80x0 80 cx sp veneziana
CAIBRO MISTO 3X5X1M,"['CAIBRO', 'MISTO', '3X5X1M']","[0, 0, 0]",caibro misto 3x5x1m
ANGELIN PEDRA TABUA,"['ANGELIN', 'PEDRA', 'TABUA']","[0, 0, 0]",angelin pedra tabua
MADEIRA SERRADA EM DIVERSAS BITOLAS EM MADEIRA ANGELIM VERMELHO,"['MADEIRA', 'SERRADA', 'EM', 'DIVERSAS', 'BITOLAS', 'EM', 'MADEIRA', 'ANGELIM', 'VERMELHO']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em diversas bitolas em madeira angelim vermelho
MADEIRA SERRADA TABUA DE CEDRO MARINHEIRO,"['MADEIRA', 'SERRADA', 'TABUA', 'DE', 'CEDRO', 'MARINHEIRO']","[0, 0, 0, 0, 0, 0]",madeira serrada tabua de cedro marinheiro
"BLOCO, QUADRADO OU FILÉ / PARAHANCORNIA AMAPA - SORVA-MAPARAJUBA","['BLOCO,', 'QUADRADO', 'OU', 'FILÉ', '/', 'PARAHANCORNIA', 'AMAPA', '-', 'SORVA-MAPARAJUBA']","[0, 0, 0, 0, 0, 0, 0, 0, 0]","bloco, quadrado ou file / parahancornia amapa - sorva-maparajuba"
"CAIXA DE PORTA JATOBA 2,10X0,80X0,12 JATOBA","['CAIXA', 'DE', 'PORTA', 'JATOBA', '2,10X0,80X0,12', 'JATOBA']","[0, 0, 0, 0, 0, 0]","caixa de porta jatoba 2,10x0,80x0,12 jatoba"
CAIBRO GUAJARA VERM 3X5CM 3.00M,"['CAIBRO', 'GUAJARA', 'VERM', '3X5CM', '3.00M']","[0, 0, 0, 0, 0]",caibro guajara verm 3x5cm 3.00m
"LINHA MIX 3X4 3,5MT MADEIRA","['LINHA', 'MIX', '3X4', '3,5MT', 'MADEIRA']","[0, 0, 0, 0, 0]","linha mix 3x4 3,5mt madeira"
"LINHA MIX 3X6 4,5MT MADEIRA","['LINHA', 'MIX', '3X6', '4,5MT', 'MADEIRA']","[0, 0, 0, 0, 0]","linha mix 3x6 4,5mt madeira"
BARROTE SERRADO EM VIGA,"['BARROTE', 'SERRADO', 'EM', 'VIGA']","[0, 0, 0, 0]",barrote serrado em viga
MADEIRA SERRADA (PRANCHA) / DINIZIA EXCELSA - ANGELIM-FERRO,"['MADEIRA', 'SERRADA', '(PRANCHA)', '/', 'DINIZIA', 'EXCELSA', '-', 'ANGELIM-FERRO']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada (prancha) / dinizia excelsa - angelim-ferro
ANGELIM-VERMELHO SER - PRANCHA,"['ANGELIM-VERMELHO', 'SER', '-', 'PRANCHA']","[0, 0, 0, 0]",angelim-vermelho ser - prancha
"LINHA MASSA 5,0X12 5,5MT","['LINHA', 'MASSA', '5,0X12', '5,5MT']","[0, 0, 0, 0]","linha massa 5,0x12 5,5mt"
DESCANSO DE PANELA EM MADEIRA,"['DESCANSO', 'DE', 'PANELA', 'EM', 'MADEIRA']","[0, 0, 0, 0, 0]",descanso de panela em madeira
ANGELIN VERMELHO VIGA,"['ANGELIN', 'VERMELHO', 'VIGA']","[0, 0, 0]",angelin vermelho viga
"LINHA MASSA 5,0X12 3,5MT MADEIRA","['LINHA', 'MASSA', '5,0X12', '3,5MT', 'MADEIRA']","[0, 0, 0, 0, 0]","linha massa 5,0x12 3,5mt madeira"
CAIBRO 5X3 ANGELIN 4.00MT,"['CAIBRO', '5X3', 'ANGELIN', '4.00MT']","[0, 0, 0, 0]",caibro 5x3 angelin 4.00mt
FRECHAL 5X4 ANGELIM 3.50MT,"['FRECHAL', '5X4', 'ANGELIM', '3.50MT']","[0, 0, 0, 0]",frechal 5x4 angelim 3.50mt
MADEIRA SERRADA TIPO VIGOTA DE MACARANDUBA (MANILKARA HUBERI (DUCKE) CHEVALIER),"['MADEIRA', 'SERRADA', 'TIPO', 'VIGOTA', 'DE', 'MACARANDUBA', '(MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada tipo vigota de macaranduba (manilkara huberi (ducke) chevalier)
"CAIBRO 3,00MT","['CAIBRO', '3,00MT']","[0, 0]","caibro 3,00mt"
TAUARI-VERMELHO SERRADO EM RIPAS,"['TAUARI-VERMELHO', 'SERRADO', 'EM', 'RIPAS']","[0, 0, 0, 0]",tauari-vermelho serrado em ripas
"CAIBRO MASSA 6,0MT","['CAIBRO', 'MASSA', '6,0MT']","[0, 0, 0]","caibro massa 6,0mt"
LINHA 5X09 ANGELIM 6.50MT,"['LINHA', '5X09', 'ANGELIM', '6.50MT']","[0, 0, 0, 0]",linha 5x09 angelim 6.50mt
PIQUIA - PRANCHA M,"['PIQUIA', '-', 'PRANCHA', 'M']","[0, 0, 0, 0]",piquia - prancha m
CAIBRO 5X3 ANGELIM 5.00MT,"['CAIBRO', '5X3', 'ANGELIM', '5.00MT']","[0, 0, 0, 0]",caibro 5x3 angelim 5.00mt
TAXI PRETO CAIBRO CURTO,"['TAXI', 'PRETO', 'CAIBRO', 'CURTO']","[0, 0, 0, 0]",taxi preto caibro curto
RIPA MASSARANDUBA,"['RIPA', 'MASSARANDUBA']","[0, 0]",ripa massaranduba
FRECHAL 5X4 ANGELIM 3.00MT,"['FRECHAL', '5X4', 'ANGELIM', '3.00MT']","[0, 0, 0, 0]",frechal 5x4 angelim 3.00mt
COMPENSADO 4MM,"['COMPENSADO', '4MM']","[0, 0]",compensado 4mm
"ZZ SARRAFO DE PINNUS APLAINADA 7CM X 2CM X 1,48M","['ZZ', 'SARRAFO', 'DE', 'PINNUS', 'APLAINADA', '7CM', 'X', '2CM', 'X', '1,48M']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","zz sarrafo de pinnus aplainada 7cm x 2cm x 1,48m"
PALLET DESCAR 1100X1200MM - 0000000136148,"['PALLET', 'DESCAR', '1100X1200MM', '-', '0000000136148']","[0, 0, 0, 0, 0]",pallet descar 1100x1200mm - 0000000136148
CAIBRO 5X3 ANGELIM 3.00MT,"['CAIBRO', '5X3', 'ANGELIM', '3.00MT']","[0, 0, 0, 0]",caibro 5x3 angelim 3.00mt
JARANA SERRADO EM VIGOTA,"['JARANA', 'SERRADO', 'EM', 'VIGOTA']","[0, 0, 0, 0]",jarana serrado em vigota
PRANCHA ANGELIM PEDRA,"['PRANCHA', 'ANGELIM', 'PEDRA']","[0, 0, 0]",prancha angelim pedra
ERISMA LANCEOLATUM STAFLEU. - QUARUBARANA-28-VIGA,"['ERISMA', 'LANCEOLATUM', 'STAFLEU.', '-', 'QUARUBARANA-28-VIGA']","[0, 0, 0, 0, 0]",erisma lanceolatum stafleu. - quarubarana-28-viga
MADEIRITE 1.10X2.20 COMUM 09MM,"['MADEIRITE', '1.10X2.20', 'COMUM', '09MM']","[0, 0, 0, 0]",madeirite 1.10x2.20 comum 09mm
IPEUBA SERRADAVIGA,"['IPEUBA', 'SERRADAVIGA']","[0, 0]",ipeuba serradaviga
TABUA DE PINNUS MARCENEIRO 3M X 30 X 25,"['TABUA', 'DE', 'PINNUS', 'MARCENEIRO', '3M', 'X', '30', 'X', '25']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",tabua de pinnus marceneiro 3m x 30 x 25
